Service Name,Category,Description,Provider Name,Website URL,Email,Phone Number,Physical Address,City,State,ZIP Code,Eligibility Requirements,Application Process,Hours of Operation,Notes,Latitude,Longitude
HUD-VASH Housing Program,Housing,"Permanent supportive housing program combining HUD housing vouchers with VA case management and support for homeless veterans.","U.S. Dept. of Housing and Urban Development & Dept. of Veterans Affairs",https://www.hud.gov/program_offices/public_indian_housing/programs/hcv/vash,hudvash@hud.gov,800-555-4141,451 7th Street SW,Washington,DC,20410,"Homeless veterans eligible for VA healthcare; determined by local VA homeless program assessment.","Referral needed through VA homeless program or social worker; housing authority processes voucher upon VA referral.","Mon-Fri 9am-5pm (for program offices)","National program; vouchers administered locally by public housing authorities in partnership with VA.",38.8951,-77.0369
Supportive Services for Veteran Families (SSVF),Housing,"VA-funded grants to nonprofits providing homelessness prevention and rapid rehousing services for veteran families, including temporary financial assistance and case management.","U.S. Dept. of Veterans Affairs (VA)",https://www.va.gov/homeless/ssvf.asp,ssvf@va.gov,800-555-7733,810 Vermont Ave NW,Washington,DC,20420,"Veterans (and their families) who are low-income and either homeless or at risk of homelessness.","Contact nearest SSVF grantee (via phone or VA website); intake and eligibility screening by grantee caseworker.","Mon-Fri 8am-6pm (hours vary by local provider)","Available nationwide through local organizations; may provide rent, utilities, moving cost assistance and other support to stabilize housing.",38.8951,-77.0369
Veterans Haven Shelter,Housing,"Transitional shelter offering temporary housing, meals, and case management for homeless veterans working toward stable housing and employment.","Veterans Haven Organization",http://www.veteranshaven.org,info@veteranshaven.org,(312) 555-4400,2500 W Madison St,Chicago,IL,60612,"Homeless veteran (with DD-214); priority given to honorably discharged veterans and those engaged in programs for self-sufficiency.","Call or walk in for an intake interview; referrals also accepted from VA hospitals or outreach teams.","24/7 (facility open to residents; intake Monday–Friday 9am-5pm)","Capacity of 50 beds; offers onsite counseling, job training referrals, and assistance with finding permanent housing.",41.881152,-87.686524
Operation Homefront Transitional Housing,Housing,"Provides short-term transitional housing and emergency financial assistance to veteran families in crisis, helping them achieve stability and secure permanent housing.","Operation Homefront",https://www.operationhomefront.org,info@operationhomefront.org,800-555-6161,17300 San Pedro Ave, Suite 500,San Antonio,TX,78232,"Veterans or service members (and their families) with unmet housing needs, typically post-9/11 era; must demonstrate financial need and a plan for self-sufficiency.","Submit online application or contact Operation Homefront; documentation of military service and financial situation required for evaluation.","Mon-Fri 8am-5pm (CT)","Houses families for 6-12 months in transitional residences; also provides emergency grants for rent, utilities, and critical family needs.",29.58169,-98.474161
Patriot Homes Program (Arizona),Housing,"State-run initiative offering rental assistance and home repair grants to eligible veterans, ensuring stable housing and improving living conditions.","Arizona Department of Veterans' Services",https://dvs.az.gov/patriot-homes,housing@azdvs.gov,(602) 555-9876,3839 N 3rd St, Suite 209,Phoenix,AZ,85012,"Arizona resident veterans, typically with low or moderate income, who are homeless or in unstable housing; specific criteria for grant programs (e.g., disability or wartime service).","Contact state Veterans Services office or apply online; requires proof of veteran status and financial information. Applications are reviewed by state committee.","Mon-Fri 8am-5pm (MT)","Includes funding for accessibility modifications for disabled veterans’ homes and temporary rental vouchers; partners with local non-profits for service delivery.",33.509271,-112.069386
Veteran Readiness & Employment (VR&E),Employment,"Federal program that helps service-disabled veterans prepare for, find, and maintain suitable careers through education, training, and employment accommodations.","U.S. Dept. of Veterans Affairs (VA)",https://www.va.gov/careers-employment/vocational-rehabilitation/,veteranemployment@va.gov,800-555-0000,810 Vermont Ave NW,Washington,DC,20420,"Veterans with a service-connected disability rating (generally 10% or higher) that impairs their ability to work, and discharge other than dishonorable.","Apply through VA.gov or at a VA Regional Office; eligible veterans will be contacted by a VR&E counselor for evaluation and development of a rehabilitation plan.","Mon-Fri 8am-4:30pm","Formerly known as Vocational Rehabilitation & Employment; services can include tuition for training, apprenticeship placement, resume and job-seeking assistance, and adaptive equipment.",38.8951,-77.0369
Veterans Employment Services – Detroit AJC,Employment,"Career center offering veterans specialized employment assistance including job search help, resume writing, career counseling, vocational training referrals, and employer connections.","Detroit Employment Solutions Corp. (American Job Center)",https://www.detroitatwork.com/veterans,veteransjobs@detroitworks.org,(313) 555-7890,9301 Michigan Ave,Detroit,MI,48210,"Open to all veterans, transitioning service members, and eligible spouses in the Detroit area seeking employment assistance.","Walk in or call to enroll as a client; provide military discharge documentation and basic personal/work history to be paired with a veteran employment specialist.","Mon-Fri 8am-5pm","Offers priority of service to veterans as mandated by law; coordinates with state workforce agency and VA programs to maximize resources for job-seekers.",42.337771,-83.12543
Hiring Our Heroes (Corporate Fellowship Program),Employment,"National initiative that connects veterans, transitioning service members, and military spouses with meaningful employment through hiring fairs, a corporate fellowship program, and networking events.","U.S. Chamber of Commerce Foundation",https://www.hiringourheroes.org,info@hiringourheroes.org,(202) 555-1234,1615 H Street NW,Washington,DC,20062,"Transitioning service members within 180 days of separation, honorably discharged veterans, and military spouses seeking employment. Fellowship program participants typically require command approval if active duty.","Register online for events or programs; fellowship applicants must submit a resume and undergo a selection process for placement with host companies.","Mon-Fri 9am-5pm","Hosts annual multi-city hiring expos and provides an online job board; the Corporate Fellowship is a 12-week program placing participants in internships that often lead to full-time jobs.",38.895,-77.0367
Hire Heroes USA Employment Services,Employment,"Provides personalized job search support to veterans and military spouses, including career coaching, resume revision, interview preparation, and networking opportunities with employers.","Hire Heroes USA",https://www.hireheroesusa.org,info@hireheroesusa.org,844-555-1520,13010 Morris Rd, Suite 175,Alpharetta,GA,30004,"All U.S. military members, veterans, and military spouses (no cost for services). Focus on post-9/11 veterans but open to all eras.","Sign up online through the Hire Heroes USA portal; each veteran is assigned a Transition Specialist who initiates services via phone/email.","Mon-Fri 9am-5pm (ET)","Operates primarily as a virtual service with follow-ups via phone/email; also partners with corporations for veteran hiring initiatives and mentorship.",34.128581,-84.294854
Texas Veterans Commission – Employment Services,Employment,"State program providing career services to Texas veterans, including job placement assistance, job fairs, vocational training information, and one-on-one employment counseling.","Texas Veterans Commission (TVC)",https://www.tvc.texas.gov,info@tvc.texas.gov,800-555-8387,1700 Congress Ave, Suite 800,Austin,TX,78701,"Veterans, transitioning military members, and spouses residing in Texas. Some programs (like OJT or apprenticeship funds) may have specific service era or disability criteria.","Contact TVC by phone or visit a local office; an employment representative will collect information and connect the veteran to appropriate resources or upcoming workshops.","Mon-Fri 8am-5pm (CT)","Works closely with Texas Workforce Commission and local employers; also has specialized representatives for disabled veterans (DVOPs) and local veterans employment reps (LVERs) under DOL VETS.",30.268469,-97.743764
